epoch,train_loss,train_accuracy,test_loss,test_accuracy
1,1.091693863272667,0.475,1.0783828536669413,0.6666666666666666
2,1.0743097846706708,0.5833333333333334,1.058264152208964,0.6666666666666666
3,1.045917814473311,0.6666666666666666,1.0220821619033813,0.7
4,0.9986983274420103,0.775,0.9637503941853841,0.8333333333333334
5,0.930696873863538,0.85,0.8896108150482178,0.9333333333333333
6,0.853597633043925,0.9083333333333333,0.815547392765681,0.9333333333333333
7,0.7829702685276667,0.95,0.7551023364067078,0.9666666666666667
8,0.729046456515789,0.9416666666666667,0.7117576579252879,0.9333333333333333
9,0.6921729455391566,0.9333333333333333,0.6823822836081187,0.9333333333333333
10,0.6677319233616194,0.9333333333333333,0.6620743076006571,0.9333333333333333
11,0.6512164960304896,0.9333333333333333,0.6474959989388783,0.9333333333333333
12,0.6395692959427833,0.9333333333333333,0.6367167830467224,0.9333333333333333
13,0.6310328304767608,0.9333333333333333,0.6283597032229106,0.9333333333333333
14,0.6245824520786604,0.9416666666666667,0.6218250056107839,0.9333333333333333
15,0.6194396858414014,0.9416666666666667,0.6164750814437866,0.9333333333333333
16,0.6152524903416634,0.9416666666666667,0.6120977441469828,0.9333333333333333
17,0.6117311909794807,0.9416666666666667,0.6083683788776397,0.9333333333333333
18,0.6086886490384738,0.9416666666666667,0.6052251338958741,0.9666666666666667
19,0.6060356592138608,0.9416666666666667,0.6025209466616313,0.9666666666666667
20,0.6036444808046023,0.95,0.6001563568909963,0.9666666666666667
21,0.6015530357758204,0.95,0.5981130460898082,0.9666666666666667
22,0.5996139019727706,0.9583333333333334,0.5962499340375265,0.9666666666666667
23,0.5978515679637592,0.9583333333333334,0.5945954759915669,1.0
24,0.5962215860684713,0.9666666666666667,0.5931267440319061,1.0
25,0.5947310626506805,0.975,0.5918496827284495,1.0
26,0.5932921707630158,0.975,0.5906121075153351,1.0
27,0.5919373601675033,0.975,0.5895366291205089,1.0
28,0.5906695758303007,0.975,0.5885485748449961,1.0
29,0.5894404763976733,0.975,0.5876944084962209,1.0
30,0.5882546573877334,0.975,0.5868753671646119,1.0
31,0.5871020793914795,0.975,0.5861079494158427,1.0
32,0.5859692737460136,0.975,0.5853968858718872,1.0
33,0.5847953990101814,0.975,0.5848612844944,1.0
34,0.5836541483799617,0.975,0.5842166701952617,1.0
35,0.5824497113625209,0.9833333333333333,0.5837846676508586,1.0
36,0.5812957460681597,0.9833333333333333,0.583331271012624,1.0
37,0.5801141828298568,0.9833333333333333,0.582994016011556,1.0
38,0.5789609794815381,0.9833333333333333,0.582643840710322,1.0
39,0.5777971347173055,0.9833333333333333,0.5825970053672791,1.0
40,0.5766941731174787,0.9916666666666667,0.582252687215805,1.0
41,0.5755985274910926,0.9916666666666667,0.5822432518005372,1.0
42,0.5745761553446452,0.9916666666666667,0.5823842446009319,1.0
43,0.5735877722501754,0.9916666666666667,0.582469101746877,1.0
44,0.5726322452227275,0.9916666666666667,0.5827475229899088,1.0
45,0.5717487533887228,0.9916666666666667,0.5831259369850159,1.0
46,0.5708766117691993,0.9916666666666667,0.5833276788393656,0.9666666666666667
47,0.5700491120417913,0.9916666666666667,0.5836789071559906,0.9666666666666667
48,0.5692761585116386,1.0,0.5842949748039246,0.9666666666666667
49,0.5684913565715154,1.0,0.5849170804023742,0.9666666666666667
50,0.5678157781561216,1.0,0.5853472173213958,0.9666666666666667
