epoch,train_loss,train_acc
1,0.3896038644558617,0.5
2,0.38785119052690886,0.5
3,0.38614504974629726,0.5
4,0.3844938182583091,0.5
5,0.3829036440511895,0.5
6,0.38285538105233163,0.5
7,0.3818716198213177,0.5
8,0.38050472315668715,0.5
9,0.37913867241448207,0.5
10,0.3778311549978497,0.5
11,0.37658940939545626,0.5
12,0.37541090863047266,0.5
13,0.3742840914674854,0.5
14,0.37320971980025375,0.5
15,0.3721768310311844,0.5
16,0.37118182273271483,0.5
17,0.3702200487986085,0.5
18,0.3692881666309189,0.5
19,0.36837971717400375,0.5
20,0.36749213206989584,0.5
21,0.3666256930608518,0.5
22,0.36577574130784596,0.5
23,0.364941717121527,0.5
24,0.364121921281952,0.5
25,0.36331422411366265,0.5
26,0.36251805520996605,0.5
27,0.3617318419604296,0.5
28,0.360953591813852,0.5
29,0.3601819585047683,0.5
30,0.3594177883486518,0.5
31,0.35865716024221816,0.5
32,0.35789809130027583,0.5
33,0.35714888484323604,0.5
34,0.3563966169776194,0.5
35,0.3556502344660051,0.5
36,0.3549036948190487,0.5
37,0.3541603254031229,0.5
38,0.35341729245013687,0.5
39,0.3526734131768423,0.5
40,0.3519344055557845,0.5
41,0.35119537771745835,0.5
42,0.3504530433838964,0.5
43,0.3497161120530383,0.5
44,0.3489816161653492,0.5
45,0.34824827110554146,0.5
46,0.3475150694774527,0.5
47,0.34678264412100424,0.5
48,0.3460479893827122,0.5
49,0.34530641473240387,0.5
50,0.34455818526879467,0.5
51,0.34380084786403575,0.5
52,0.3430324378505687,0.5
53,0.3422475897565156,0.5
54,0.341445983728605,0.5
55,0.34062523497942143,0.5
56,0.3397803810100579,0.5
57,0.3389094202760461,0.5
58,0.3380109687626045,0.5
59,0.33707923575702337,0.5
60,0.33736835802665777,0.5
61,0.33640299017792863,0.5
62,0.33539929990327355,0.5
63,0.3356500721848863,0.5
64,0.33463016659614553,0.5
65,0.33356948162937927,0.5
66,0.33246850227718916,0.5
67,0.3313254057861861,0.5
68,0.3301399975541437,0.5
69,0.3289081434440746,0.5
70,0.32763241094837836,0.5
71,0.32631208387544897,0.5
72,0.32494605190927395,0.5
73,0.32353365580800864,0.5
74,0.322077551845914,0.5
75,0.3205783103304807,0.5
76,0.31903328952033405,0.5
77,0.3174456598098523,0.5
78,0.31581713785524856,0.5
79,0.3141499528515803,0.5
80,0.3124413230772505,0.5
81,0.31069920590676725,0.5
82,0.3089203105896656,0.5
83,0.3071103170151357,0.5
84,0.3052728295858098,0.5
